"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Run/Debug","Terminate","⌘F2","Debugging"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Navigate","Quick Outline","⌘O","PDE editor"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Next Page","⌥F7","In Windows"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Text Editing","Text End","↘","Editing Text"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"File","Close All","⇧⌘W","In Windows"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Window","Update Project","⌥F5","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Window","Next View","⌘F7","In Windows"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥T","In Windows"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Text Editing","Line End","⌘→","Editing Text"
